,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14
0610030E20Rik_mm,0.2356299183622922,0.0,0.0,0.41992132428404333,0.3817821874969201,0.017589085032635735,0.0,0.07198749991811257,0.13564294283959075,0.5046568649966318,0.1049872063409855,0.013358590891137792,0.0,0.07313146198177423,0.03416189398216838
0610043K17Rik_mm,0.0,0.0,0.0,0.0004890297772017233,0.0,0.0,0.0,0.0,0.0,0.0002818054937964891,0.0,0.0006856763511275938,0.0,0.0,0.0
1110008P14Rik_mm,0.15690854420609412,0.0,0.0,0.08798147366777233,0.17241328356168936,0.0,0.6506169956879061,0.08230695252973166,0.0,0.0,0.05188415998501591,0.0,0.0,0.3391077066562856,0.0
1110025L11Rik_mm,0.0,0.00010094224286987701,6.555315993578039e-05,0.0,0.0,0.0,0.0,0.0,0.00021373096033226177,0.0,0.0,0.0,0.0,0.0008509684716937745,3.084529412169433e-05
1110032A03Rik_mm,0.014917533859612255,0.0,0.0,0.08370963402798647,0.09570322136224083,0.0,0.05819363305536527,0.06605858408517476,0.06391039855256493,0.06126703145325917,0.00020576082895865024,0.0,0.0,0.0707898036064411,0.0
1110038B12Rik_mm,0.7263936704772856,0.0,0.031601051637834825,0.0,0.5451066758216199,0.07715853011224598,2.0476775553356155,0.05162053981653511,0.0,0.833253883884694,0.0,0.0,0.0,0.2797814529322896,0.0
1110051M20Rik_mm,0.05634285878198204,0.0,0.07848128147826527,0.13898654173236077,0.030295167693110994,0.0,0.02331039085382091,0.006039452736539974,0.027924885398849398,0.0033791374495811656,0.004898942322953455,0.0,0.0,0.06144491540184157,0.0
1190007I07Rik_mm,0.07875715377043807,0.0,0.0,0.0,0.0,0.0,0.17420182377868812,0.0,0.061181303909978536,0.0,0.0,0.0,0.0,0.017619752442371406,0.0
1500012K07Rik_mm,0.0,0.0,0.0,0.0,0.0,0.0,0.00023598922423849597,0.0,0.0,0.0,0.0,0.0,0.0,0.00017230971214520028,0.0
1500032F14Rik_mm,0.00248192978035969,0.0,0.0,0.0007723157119082911,3.7442505432180075e-05,0.0,0.0,0.0,0.0,0.0024506941077802485,0.0006527366455601662,0.0,0.0,0.0009291322219099239,0.0
