,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14
A2M_hg,0.0,0.0,0.0,0.0,0.022257812212829284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADACL4_hg,0.0,3.8316250892701516e-05,0.00010000687210574585,0.0,0.0,0.00035387986738515896,2.0597579832755414e-05,3.524473971914784e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAK1_hg,0.01704558869569231,0.502765167020442,1.8183154761470204,0.13623521940664973,1.632886703626961,0.17505881723420322,0.0,0.04515608555161496,0.0,0.2802089737570529,0.017025187361791493,0.1708048286236581,0.0,0.0,0.8813513479888496
AARS1_hg,0.0,0.925945101377692,1.7962886410315966,0.9063510028513622,0.0,0.16340002969996273,0.19148489187463644,0.21783714210535232,0.030603501119502767,0.06387482005029523,0.4503476247915865,1.4454085612510894,0.3953474699461597,0.4098263533187092,0.0
ABCA1_hg,0.0,0.0,0.0,0.0,0.03892882303922674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA4_hg,0.0,0.0008608738220589548,0.011704151140728982,0.012368773363491476,0.010295504213161956,0.0,0.0,0.003693434119485054,0.0,0.0,0.0,0.005314787097184736,0.0,0.0,0.0
ABCB11_hg,0.0,0.7403583475220372,0.011824315663317209,0.0,0.006343545914822347,0.019394147486620425,0.02435090803153189,0.0,0.0,0.0634553826878539,0.18016007864020542,0.0,0.0,0.0,0.01771729796883815
ABCB1_hg,0.0,0.0,0.015072698277070968,0.0,0.46392362246567964,0.0,0.0,0.008121097965125636,0.0,0.0,0.0,0.009163643265424239,0.0,0.0170617555609792,0.0
ABCB4_hg,0.0,0.00032857441675846876,0.0064459812898505576,0.021204341772672775,0.041406021408130454,0.0,0.0,0.0,0.0,0.0,0.0,0.003229357309203162,0.0,0.0065104424474111,0.0
ABCC5-AS1_hg,0.0,0.0,0.0,0.0005234195429051226,0.0,0.0,0.0,0.0,5.725018776806289e-05,0.0,0.0,0.0,0.0,0.0,0.00019879357073646813
ABCG1_hg,0.0,0.1820462138946297,0.016162016549070086,0.0,0.015397409948996844,0.012945996181986469,0.0,0.012881216430082316,0.0,0.0,0.027036482284962974,0.0,0.005563088821880302,0.0,0.0
ABCG5_hg,0.0,0.0,0.0,0.0,0.00031650835829554104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029148135428641396,0.0,0.001375353595110755
ABHD16B_hg,0.0,0.0,0.0,0.00014435850266676634,0.0002122271140378937,7.742730256706189e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0001061715676708443,0.0,0.0
ABLIM1_hg,0.0,0.0007317019805450131,0.0,0.0013566755823623486,0.02168671580588386,0.0012703859616523317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABLIM3_hg,0.0,0.0,0.15776642199841787,0.0,0.038707220555419655,0.0,0.0,0.0,0.0,0.0,0.0,0.06748989296432532,0.0,0.0,0.015032983946637324
ABRAXAS1_hg,0.0006613393042137676,0.3426508330949644,0.5721107297289085,1.029067263309698,0.0,0.06095489839171453,0.0,0.41058357173555293,0.023901516731209282,0.0,0.0,0.0,0.22460058414714723,0.09128586748638878,0.20500043281602376
AC002115.1_hg,0.0,0.0,0.0,0.0,8.24805514609762e-05,0.0,0.0,0.000898665772051307,0.00011944489895301595,0.0,0.0,0.0,0.0,0.0,0.0
AC002331.1_hg,0.0,0.0,0.0,0.0,0.024813163349882483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002347.2_hg,0.0,0.0,6.97060274153737e-05,0.0,0.00011930883639969372,0.00032135571384417003,0.00020522043683081088,0.00017904459653170975,0.0,0.0,8.185122883187635e-05,0.0,0.0,0.0007734304870569721,0.00023864861290941392
AC002463.1_hg,0.0,0.0016941580606465965,0.0,0.0052333428780497165,0.01829069113641189,0.0,0.00019289352063771,0.0,0.0013056430732899462,0.0,0.0,0.0,0.0,0.0,0.0
AC002985.1_hg,0.0,0.00042972743342349564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00042802496337757985
