# Genes scraped from review https://doi.org/10.1016/j.drudis.2021.10.020,,
Category,Subcategory,Enzyme
Writers,DNA Methylation,DNMT1
Writers,DNA Methylation,DNMT3a
Writers,DNA Methylation,DNMT3b
Writers,Histone Methylation,SETD1A
Writers,Histone Methylation,SETD1B
Writers,Histone Methylation,MLL1
Writers,Histone Methylation,KMT2A
Writers,Histone Methylation,MLL2
Writers,Histone Methylation,KMT2B
Writers,Histone Methylation,MLL3
Writers,Histone Methylation,KMT2C
Writers,Histone Methylation,MLL4
Writers,Histone Methylation,KMT2D
Writers,Histone Methylation,SETD7
Writers,Histone Methylation,KMT7
Writers,Histone Methylation,SMYD1
Writers,Histone Methylation,KMT3A
Writers,Histone Methylation,SMYD2
Writers,Histone Methylation,KMT3B
Writers,Histone Methylation,SMYD3
Writers,Histone Methylation,KMT3C
Writers,Histone Methylation,SETD8
Writers,Histone Methylation,KMT5A
Writers,Histone Methylation,SUV39H1
Writers,Histone Methylation,KMT1A
Writers,Histone Methylation,SUV39H2
Writers,Histone Methylation,KMT1B
Writers,Histone Methylation,G9a
Writers,Histone Methylation,KMT1C
Writers,Histone Methylation,EHMT2
Writers,Histone Methylation,GLP
Writers,Histone Methylation,EHMT1
Writers,Histone Methylation,KMT1D
Writers,Histone Methylation,SETDB1
Writers,Histone Methylation,KMT1E
Writers,Histone Methylation,SETDB2
Writers,Histone Methylation,NSD1
Writers,Histone Methylation,KMT3B
Writers,Histone Methylation,SETD2
Writers,Histone Methylation,WHSC1
Writers,Histone Methylation,KMT3G
Writers,Histone Methylation,SET7
Writers,Histone Methylation,SET9
Writers,Histone Methylation,SET7
Writers,Histone Methylation,SET9
Writers,Histone Methylation,KMT7
Writers,Histone Methylation,SETMAR
Writers,Histone Methylation,METNASE
Writers,Histone Methylation,PRDM1
Writers,Histone Methylation,PRDM2
Writers,Histone Methylation,SETD3
Writers,Histone Methylation,SETD4
Writers,Histone Methylation,SETD5
Writers,Histone Methylation,SETD6
Writers,Histone Methylation,DOT1L
Writers,Histone Methylation,KMT4
Writers,Histone Methylation,PRMT1
Writers,Histone Methylation,PRMT2
Writers,Histone Methylation,PRMT3
Writers,Histone Methylation,PRMT4
Writers,Histone Methylation,PRMT5
Writers,Histone Methylation,PRMT6
Writers,Histone Methylation,PRMT7
Writers,Histone Methylation,PRMT8
Writers,Histone Methylation,PRMT9
Writers,Histone Acetylation,CBP
Writers,Histone Acetylation,p300
Writers,Histone Acetylation,PCAF
Writers,Histone Acetylation,GCN5
Writers,Histone Acetylation,HAT1
Writers,Histone Acetylation,HBO1
Writers,Histone Acetylation,MOZ
Writers,Histone Acetylation,MORF
Writers,Histone Acetylation,TIP60
Writers,Histone Acetylation,HTATIP
Writers,Histone Acetylation,HBAT
Writers,Histone Acetylation,CLOCK
Writers,Histone Acetylation,KATRA
Writers,Histone Acetylation,KATB
Writers,Histone Acetylation,KATC
Writers,Histone Acetylation,KATD
Writers,Histone Acetylation,KATE
Writers,Histone Acetylation,KAT8
Writers,RNA Modification,METTL3
Writers,RNA Modification,METTL14
Writers,RNA Modification,METTL1
Writers,RNA Modification,METTL6
Writers,RNA Modification,METTL16
Writers,RNA Modification,METTL8
Writers,RNA Modification,NSUN2
Writers,RNA Modification,NSUN3
Writers,RNA Modification,NSUN6
Writers,RNA Modification,NSUN7
Writers,RNA Modification,TRDMT1
Writers,RNA Modification,TRMT2
Writers,RNA Modification,KIAA1456
Writers,RNA Modification,ALKBH1
Writers,RNA Modification,FTO
Writers,RNA Modification,DNMT2
Writers,RNA Modification,TET1
Writers,RNA Modification,TET2
Writers,RNA Modification,TET3
Writers,RNA Modification,ALKBH8
Writers,RNA Modification,TRMT61B
Readers,Histone Methylation,53BP1
Readers,Histone Methylation,ATRX
Readers,Histone Methylation,CBX1
Readers,Histone Methylation,CBX3
Readers,Histone Methylation,CBX5
Readers,Histone Methylation,CDYL
Readers,Histone Methylation,CDYL2
Readers,Histone Methylation,CHD1
Readers,Histone Methylation,CRB2
Readers,Histone Methylation,ING1
Readers,Histone Methylation,ING2
Readers,Histone Methylation,ING3
Readers,Histone Methylation,ING4
Readers,Histone Methylation,ING5
Readers,Histone Methylation,JMJD2A
Readers,Histone Methylation,JMJD2B
Readers,Histone Methylation,JMJD2C
Readers,Histone Methylation,L3MBTL1
Readers,Histone Methylation,L3MBTL2
Readers,Histone Methylation,L3MBTL3
Readers,Histone Methylation,MBD1
Readers,Histone Methylation,MBD2
Readers,Histone Methylation,MBD4
Readers,Histone Methylation,PHF1
Readers,Histone Methylation,PHF2
Readers,Histone Methylation,PHF8
Readers,Histone Methylation,PYGO1
Readers,Histone Methylation,PYGO2
Readers,Histone Methylation,RAG2
Readers,Histone Methylation,SFMBT1
Readers,Histone Methylation,SFMBT2
Readers,Histone Methylation,SPIN1
Readers,Histone Methylation,SPIN2
Readers,Histone Methylation,TAF3
Readers,Histone Methylation,TDRD3
Readers,Histone Methylation,TIP60
Readers,Histone Methylation,UHRF1
Readers,Histone Methylation,WDR5
Readers,Histone Methylation,BPTF
Readers,Histone Methylation,HP1
Readers,Histone Methylation,ING
Readers,Histone Methylation,WDR5
Readers,Histone Methylation,JMJD2A
Readers,Histone Methylation,CHD1
Readers,Histone Methylation,DNMT3L
Readers,Histone Methylation,EED
Readers,Histone Methylation,WDR5
Readers,Histone Methylation,CHD1
Readers,Histone Methylation,PRC2
Readers,Histone Methylation,PHF2
Readers,Histone Methylation,NURF
Readers,Histone Methylation,ORC1
Readers,Histone Methylation,ATRX
Readers,Histone Methylation,Zfn family
Readers,Histone Methylation,CDY
Readers,Histone Methylation,CDX1
Readers,Histone Methylation,EED
Readers,Histone Methylation,MCAF1
Readers,Histone Methylation,ZMYND8
Readers,Histone Methylation,DNMT1
Readers,Histone Methylation,UHRF1
Readers,Histone Methylation,MBD1
Readers,Histone Methylation,MBD2
Readers,Histone Methylation,MBD3
Readers,Histone Methylation,MBD4
Readers,Histone Methylation,PHD20
Readers,Histone Methylation,SCML2
Readers,Histone Methylation,SFRS
Readers,Histone Methylation,DNMT3L
Readers,Histone Methylation,TRIM33
Readers,Histone Methylation,EAF3
Readers,Histone Methylation,DPP
Readers,Histone Methylation,MORF
Readers,Histone Methylation,MOZ
Readers,Histone Methylation,OATL
Readers,Histone Methylation,MSL3
Readers,Histone Methylation,MPP8
Readers,Histone Methylation,PSIP1
Readers,Histone Methylation,MRG15
Readers,Histone Methylation,DNMT3L
Readers,Histone Methylation,DIDO
Readers,Histone Methylation,MOF
Readers,Histone Methylation,TULP4
Readers,Histone Methylation,ZMYND8
Readers,Histone Methylation,PHF19
Readers,Histone Methylation,PSIP1
Readers,Histone Methylation,MRG15
Readers,Histone Methylation,DSDB
Readers,Histone Methylation,ZYMND11
Readers,Histone Methylation,HOP2BP
Readers,Histone Methylation,SPIAL-RNPs
Readers,Histone Methylation,MSO
Readers,Histone Methylation,MSO
Readers,Histone Methylation,NSD3
Readers,Histone Methylation,MRC1L
Readers,Histone Methylation,NSDT3
Readers,Histone Acetylation,BRD1
Readers,Histone Acetylation,BRD2
Readers,Histone Acetylation,BRD3
Readers,Histone Acetylation,BRD4
Readers,Histone Acetylation,BRD7
Readers,Histone Acetylation,BRDT
Readers,Histone Acetylation,BRPF1
Readers,Histone Acetylation,BRWD1
Readers,Histone Acetylation,BRWD3
Readers,Histone Acetylation,CECR2
Readers,Histone Acetylation,CREBBP
Readers,Histone Acetylation,EP300
Readers,Histone Acetylation,BAZ1
Readers,Histone Acetylation,BPTF
Readers,Histone Acetylation,BRD8
Readers,Histone Acetylation,GCN5L2
Readers,Histone Acetylation,FALZ
Readers,Histone Acetylation,BAZ1B
Readers,Histone Acetylation,ATAD2
Readers,Histone Acetylation,KATNA1
Readers,Histone Acetylation,KATNA
Readers,Histone Acetylation,KIAA1240
Readers,Histone Acetylation,PCAF
Readers,Histone Acetylation,SMARCA2
Readers,Histone Acetylation,SMARCA4
Readers,Histone Acetylation,ATAD2
Readers,Histone Acetylation,ATAD2B
Erasers,DNA Demethylation,TET1
Erasers,DNA Demethylation,TET2
Erasers,DNA Demethylation,TET3
Erasers,DNA Demethylation,DNMT1
Erasers,DNA Demethylation,DNMT2
Erasers,DNA Demethylation,DNMT3B
Erasers,DNA Demethylation,DNMT3L
Erasers,DNA Demethylation,TDG
Erasers,Histone Demethylation,LSD1
Erasers,Histone Demethylation,KDM1A
Erasers,Histone Demethylation,LSD2
Erasers,Histone Demethylation,KDM1B
Erasers,Histone Demethylation,KDM2A
Erasers,Histone Demethylation,KDM1A
Erasers,Histone Demethylation,FBXL11
Erasers,Histone Demethylation,KDM2B
